Programming Language,Algorithm Name,Matrix Size,Block Size,Run 1,Run 1 L1,Run 1 L2,Run 2,Run 2 L1,Run 2 L2,Run 3,Run 3 L1,Run 3 L2,Run 4,Run 4 L1,Run 4 L2,Run 5,Run 5 L1,Run 5 L2
C++,OnMult,600,N/A,0.160326,243526789,298102,0.158303,240437210,341977,0.155099,240074046,326625,0.154935,240417574,305271,0.157034,240517475,370760
C++,OnMult,1000,N/A,0.729154,1137905984,1252998,0.727184,1138426544,1124389,0.726326,1138392009,1122710,0.76434,1138409865,1306753,0.727522,1138387088,1080969
C++,OnMultLine,600,N/A,0.067703,27646836,183417,0.066745,27568886,186849,0.066295,27560395,185184,0.067741,27598715,186501,0.066938,27589882,185549
C++,OnMultLineCores,600,N/A,0.019741,2477331,24093,0.0180965,2533165,20485,0.0186174,2507318,22362,0.0191691,2542727,26300,0.0165697,2512926,23599
C++,OnMultBlock,600,75,0.155515,31402114,295746,0.066753,29181201,296623,0.070498,29218732,340940,0.06907,28902807,319062,0.069387,29826398,295381
C++,OnMultBlock,600,150,0.071047,31882948,721675,0.071392,32730831,841208,0.073524,31500151,794425,0.072431,31981654,873992,0.071726,32683780,873865
C++,OnMultBlock,600,300,0.07592,31808645,4562045,0.076762,31549225,4527400,0.077313,31474168,4539447,0.073957,31433612,4460524,0.072627,31624854,4520889
C++,OnMultLine,1000,N/A,0.311179,128743479,950744,0.31313,128786648,1030654,0.310163,128898168,1048142,0.31859,129017030,1033751,0.323417,129004711,1034172
C++,OnMultLineCores,1000,N/A,0.0837246,12031885,102310,0.0805117,12268992,95303,0.0831188,12511166,89361,0.0828922,12435102,90522,0.0806572,12568441,80975
C++,OnMultBlock,1000,125,0.467355,152839832,1093794,0.330845,154604926,948055,0.332562,153114032,1141089,0.336489,151851508,1102256,0.334804,154467486,1009453
C++,OnMultBlock,1000,250,0.355006,142414981,19321949,0.355712,142292348,19551817,0.359493,143242468,19536782,0.355916,142069705,19566846,0.356366,141390869,19347413
C++,OnMultBlock,1000,500,0.322127,137144925,12961947,0.319832,136541334,12183560,0.320831,136274198,12100215,0.316514,136397637,12199434,0.325532,136403180,12125323

Java,OnMult,600,N/A,0.828291589,N/A,N/A,0.834255422,N/A,N/A,0.828499874,N/A,N/A,0.841689861,N/A,N/A,0.822579046,N/A,N/A
Java,OnMult,1000,N/A,3.917156063,N/A,N/A,3.905342024,N/A,N/A,3.900394304,N/A,N/A,3.880333987,N/A,N/A,3.909255534,N/A,N/A
Java,OnMultLine,600,N/A,0.095330082,N/A,N/A,0.089749732,N/A,N/A,0.089277981,N/A,N/A,0.088598794,N/A,N/A,0.0908055,N/A,N/A
Java,OnMultLine,1000,N/A,0.418193692,N/A,N/A,0.416985698,N/A,N/A,0.420967744,N/A,N/A,0.437405958,N/A,N/A,0.45036388,N/A,N/A
